"Campaign","Ad group","Keyword","Criterion Type","Status"
"退職リリーフ｜初期検証","AG08_休職体調","自己都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","解雇","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","会社都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","雇止め","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","契約満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","退職勧奨","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","倒産","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","離職票","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","介護","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","育児","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG08_休職体調","配偶者転勤","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","自己都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","解雇","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","会社都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","雇止め","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","契約満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","退職勧奨","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","倒産","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","離職票","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","休職満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG09_生活事情","体調不良","Negative Phrase","Enabled"
